x		y1		y2		y3

0	0	0	0
0.0200	0.0000	0.0800	0.0000
0.0400	0.0016	0.1600	0.0000
0.0600	0.0048	0.2399	0.0000
0.0800	0.0096	0.3196	0.0000
0.1000	0.0160	0.3992	0.0000
0.1200	0.0239	0.4785	0.0000
0.1400	0.0334	0.5574	0.0000
0.1600	0.0445	0.6360	0.0000
0.1800	0.0571	0.7141	0.0000
0.2000	0.0712	0.7916	0.0000
0.2200	0.0868	0.8686	0.0000
0.2400	0.1039	0.9449	0.0000
0.2600	0.1224	1.0206	0.0000
0.2800	0.1424	1.0954	0.0000
0.3000	0.1637	1.1695	0.0000
0.3200	0.1863	1.2426	0.0000
0.3400	0.2103	1.3148	0.0000
0.3600	0.2356	1.3861	0.0000
0.3800	0.2620	1.4562	0.0000
0.4000	0.2897	1.5253	0.0000
0.4200	0.3186	1.5932	0.0000
0.4400	0.3485	1.6598	0.0000
0.4600	0.3795	1.7252	0.0000
0.4800	0.4115	1.7893	0.0000
0.5000	0.4445	1.8521	0.0000
0.5200	0.4784	1.9134	0.0000
0.5400	0.5132	1.9732	0.0000
0.5600	0.5488	2.0316	0.0000
0.5800	0.5851	2.0884	0.0000
0.6000	0.6222	2.1436	0.0000
0.6200	0.6599	2.1972	0.0000
0.6400	0.6982	2.2491	0.0000
0.6600	0.7370	2.2993	0.0000
0.6800	0.7764	2.3478	0.0000
0.7000	0.8161	2.3944	0.0000
0.7200	0.8562	2.4393	0.0000
0.7400	0.8966	2.4823	0.0000
0.7600	0.9373	2.5235	0.0000
0.7800	0.9782	2.5627	0.0000
0.8000	1.0192	2.6000	0.0000
0.8200	1.0603	2.6354	0.0000
0.8400	1.1014	2.6687	0.0000
0.8600	1.1424	2.7001	0.0000
0.8800	1.1834	2.7295	0.0000
0.9000	1.2242	2.7568	0.0000
0.9200	1.2649	2.7820	0.0000
0.9400	1.3053	2.8052	0.0000
0.9600	1.3453	2.8263	0.0000
0.9800	1.3850	2.8452	0.0000
1.0000	1.4243	2.8621	0.0000
1.0200	1.4631	2.8768	0.0000
1.0400	1.5015	2.8894	0.0000
1.0600	1.5392	2.8999	0.0000
1.0800	1.5764	2.9082	0.0000
1.1000	1.6129	2.9144	0.0000
1.1200	1.6487	2.9184	0.0000
1.1400	1.6838	2.9203	0.0000
1.1600	1.7181	2.9201	0.0000
1.1800	1.7516	2.9176	0.0000
1.2000	1.7842	2.9131	0.0000
1.2200	1.8159	2.9064	0.0000
1.2400	1.8468	2.8976	0.0000
1.2600	1.8766	2.8866	0.0000
1.2800	1.9055	2.8735	0.0000
1.3000	1.9334	2.8584	0.0000
1.3200	1.9602	2.8411	0.0000
1.3400	1.9859	2.8218	0.0000
1.3600	2.0106	2.8003	0.0000
1.3800	2.0341	2.7769	0.0000
1.4000	2.0565	2.7513	0.0000
1.4200	2.0778	2.7238	0.0000
1.4400	2.0979	2.6943	0.0000
1.4600	2.1168	2.6628	0.0000
1.4800	2.1345	2.6293	0.0000
1.5000	2.1510	2.5938	0.0000
1.5200	2.1662	2.5565	0.0000
1.5400	2.1803	2.5172	0.0000
1.5600	2.1931	2.4761	0.0000
1.5800	2.2047	2.4331	0.0000
1.6000	2.2150	2.3882	0.0000
1.6200	2.2241	2.3416	0.0000
1.6400	2.2319	2.2932	0.0000
1.6600	2.2385	2.2430	0.0000
1.6800	2.2439	2.1911	0.0000
1.7000	2.2480	2.1375	0.0000
1.7200	2.2509	2.0823	0.0000
1.7400	2.2526	2.0253	0.0000
1.7600	2.2531	1.9668	0.0000
1.7800	2.2523	1.9067	0.0000
1.8000	2.2504	1.8451	0.0000
1.8200	2.2473	1.7819	0.0000
1.8400	2.2430	1.7172	0.0000
1.8600	2.2376	1.6511	0.0000
1.8800	2.2310	1.5835	0.0000
1.9000	2.2233	1.5145	0.0000
1.9200	2.2146	1.4442	0.0000
1.9400	2.2047	1.3725	0.0000
1.9600	2.1938	1.2996	0.0000
1.9800	2.1818	1.2253	0.0000
2.0000	2.1688	1.1499	0.0000
